X,Y,OBJECTID,station_id,sara_short,results,units,latitude_m,longitude_,waterbody_,Result1,Geomean,result1Min,result1Max,date,dates,isEndDate,recent_dat,rec_date,max_date,max_dat,URL,URLName,ESRI_OID,GlobalID,county_name
-98.4982,29.4316,86497,S0069,San Pedro Creek Culture Park,380,MPN/100ml,29.43162,-98.49822,San Pedro Creek,380,727,10,1400000,2018/11/14,2018/11/15 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,9ec7a919-9363-4846-b454-0ddcd74bf574,Bexar
-98.4982,29.4316,86498,S0069,San Pedro Creek Culture Park,180,MPN/100ml,29.43162,-98.49822,San Pedro Creek,180,727,10,1400000,2018/11/15,2018/11/16 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,94c7a030-5d6d-4f62-8a95-f2da61db3a51,Bexar
-98.4982,29.4316,86499,S0069,San Pedro Creek Culture Park,260,MPN/100ml,29.43162,-98.49822,San Pedro Creek,260,727,10,1400000,2018/11/16,2018/11/17 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,7137c323-5556-4202-b801-ee4ab97926df,Bexar
-98.4982,29.4316,86500,S0069,San Pedro Creek Culture Park,170,MPN/100ml,29.43162,-98.49822,San Pedro Creek,170,727,10,1400000,2018/11/17,2018/11/18 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,5ee09e59-899c-4cea-bc9c-75ffb881bcae,Bexar
-98.4982,29.4316,86501,S0069,San Pedro Creek Culture Park,390,MPN/100ml,29.43162,-98.49822,San Pedro Creek,390,727,10,1400000,2018/11/18,2018/11/19 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,9dc20a83-b5f9-4593-b5ce-505943d533c0,Bexar
-98.4982,29.4316,86502,S0069,San Pedro Creek Culture Park,280,MPN/100ml,29.43162,-98.49822,San Pedro Creek,280,727,10,1400000,2018/11/07,2018/11/08 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,88e17cb9-850f-4298-889c-0cb931b4dfb4,Bexar
-98.4982,29.4316,86503,S0069,San Pedro Creek Culture Park,440,MPN/100ml,29.43162,-98.49822,San Pedro Creek,440,727,10,1400000,2018/11/08,2018/11/09 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,43c4027f-0d55-45af-8d1d-744e3aa54806,Bexar
-98.4982,29.4316,86504,S0069,San Pedro Creek Culture Park,52000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,52000,727,10,1400000,2018/11/09,2018/11/10 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,d38e9662-4080-4cbe-9b27-8cdd0269635a,Bexar
-98.4982,29.4316,86505,S0069,San Pedro Creek Culture Park,2400,MPN/100ml,29.43162,-98.49822,San Pedro Creek,2400,727,10,1400000,2018/11/10,2018/11/11 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,2cfba491-ba37-46c5-92b0-7cc2087131c5,Bexar
-98.4982,29.4316,86506,S0069,San Pedro Creek Culture Park,1000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1000,727,10,1400000,2018/11/11,2018/11/12 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,fd2a66a0-ed14-48a9-8e81-e6cf347fe5ab,Bexar
-98.4982,29.4316,86507,S0069,San Pedro Creek Culture Park,1200,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1200,727,10,1400000,2018/11/12,2018/11/13 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,96157935-5a23-459d-916e-92c840cf379b,Bexar
-98.4982,29.4316,86508,S0069,San Pedro Creek Culture Park,610,MPN/100ml,29.43162,-98.49822,San Pedro Creek,610,727,10,1400000,2018/11/01,2018/11/02 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,60366b95-e735-45c2-ab24-8302f549aaf6,Bexar
